Career 1 From List,Career 2 From List,First Name,Last Name,Job Title,Business Affiliation,Source,Can help people (1),Can help people (2),Classes to take (1),Classes to take (2),Classes to take (3),Blurb,Video ,Video Title,Website (Link),Website (text to display)
3D printing and modeling technologies,Developer/Artist,Seraya,Green,Plastic Prototyper,Makerspace,FICTIONAL,by creating prototypes (like samples) for new inventions,by creating goods out of plastic to improve everyday life,Computer Science,Calculus,Drawing and Painting,Hi there! My name is Seraya and I work as a plastic prototyper at Makerspace. I love helping people see their inventions come to life!,https://www.youtube.com/watch?v=d6VXDw_oA0Y,A Day In The Life: Senior 3D Designer,http://stem-works.com/subjects/21-other-stem-subjects/cool_jobs/218,3D Printing as a Career
Aerospace Engineer,AutoCAD/Computer Science,Mera ,Horne,Mechanical Engineer and Research Scientist,NASA Ames Research Center,TechBridge,by studying space in order to learn more about our planet,by searching for life on Mars,Physics,Computer Science,Earth Science,Hi! My name is Mera. I work at NASA to improve spacecraft which are currently on Mars! I love using my engineering skills and learning more about space!,https://www.youtube.com/watch?v=mbnDLUkYtQI,Career Profiles: Aero-Mechanical Design: Operations Engineering,http://www.sciencebuddies.org/science-engineering-careers/engineering/aerospace-engineering-operations-technician#onthejob,Aerospace Engineering as a Career
Biology,Biomechanical Engineer,Jacqueline,Tao,Clinical Content Engineer (Biotechnology),Acupera,TechBridge,by engineering new technology to improve healthcare,by using technology to make healthcare more accessible for everyone ,Biology,Chemistry,Computer Science,"Hey! My name is Jacqueline. I work as an engineer at Acupera, helping to design new products to help people using biotechnology. I love to help people!",https://www.youtube.com/watch?v=Htx74GUy7qk,Biotechnology Industry,http://www.sciencebuddies.org/science-engineering-careers/life-sciences/biochemist,Biochemistry as a Career
Biomechanical Engineer,Biology,Holly,Rockweiler,Biomechanical Engineer,Madorra,TechBridge,by engineering new technology to improve healthcare,by using technology to make healthcare more accessible for everyone ,Biology,Chemistry,Medicine,"Hi! My name is Holly and I helped co-found Madorra, a company dedicated to creating products which improve the quality of life for breast cancer survivors! I love helping people!",https://www.youtube.com/watch?v=aWUavsk2djI,Career Profiles- Aero-Mechanical Design- Operations Engineering Branch,http://www.sciencebuddies.org/science-engineering-careers/health/biomedical-engineer,Biomedical Engineering as a Career
"Industrial Operations Engineering, Systems engineering",,Susanna,Nordrum,Warehouse Manager,Chevron,TechBridge,by organizing everything to make sure it runs as smoothly and safely as possible ,by saving money and resources by keeping processes efficient,Algebra,Calculus,Business Management,Hey there! My name is Susanna and I work at Chevron to manage production and make sure we are as efficient as possible. I love keeping everything organized!,https://www.youtube.com/watch?v=giKuVvsEj6A,Career Advice on becoming a Systems Engineer,http://www.sciencebuddies.org/science-engineering-careers/engineering/engineering-manager,Engineering Management as a Career
Computer Engineer/Data Scientist,,Julia,Meo,Data Scientist,Rich Relevance,TechBridge,by organizing and analyzing data,by using data to help scientific research,Statistics,Calculus,Computer Science,Hi! My name is Julia and I work as a data scientist at RichRelevance. I love using data to predict everything!,https://www.youtube.com/watch?v=_7MB_qhrRaY,Building a New Career in Data Science,http://www.sciencebuddies.org/science-engineering-careers/math-computer-science/data-scientist,Data Science as a Career
CSI,Chemical Engineer,Lindsey,Garfield,Forensic Scientist,MN Bureau of Criminal Apprehension,FabFems,by helping find criminals and prosecute them using crime scene evidence,by helping to clear innocent suspects by proving them innocent,Chemistry,Biology,Law,Hi! My name is Lindsey and I work with the Bureau of Criminal Apprehension. I love finding evidence to help law enforcement in big cases.,https://www.youtube.com/watch?v=MjgUX1x6aLg,Follow your interest in forensics: Crime Scene Investigation,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/forensic-science-technician,Forensic Science as a Career
Developer/Artist,AutoCAD/Computer Science,Lyuba,Tartova,Interior Design Professional,HOK,TechBridge,by designing visually appealing rooms and buildings,by satisfying customer demands,Drawing and Painting,Physics,Computer Science,Hey there! My name is Lyuba and I work as an Interior Designer at HOK. I love designing beautiful and elegant rooms!,https://www.youtube.com/watch?v=U7qWfePTlOU,Career Advice - Interior Design,http://www.sciencebuddies.org/science-engineering-careers/engineering/architect,Architecture as a Career
Developer/Artist,Graphic Design,Lisette,Titre-Montgomery,Video game developer,Ubisoft,www.lisettetitre.com/,"by creating fun, interactive games",by making games more user-friendly,Computer Science,Drawing and Painting,Digital Media,"Hi! My name is Lisette and I work as a video game developer, designing games such as The Sims 4 and Dance Central 3. I love making fun and visually appealing games to entertain people!",https://www.youtube.com/watch?v=c0o6BPYKBiA,Day in the Life: Video Game Designer,http://www.sciencebuddies.org/science-engineering-careers/math-computer-science/multimedia-artist-or-animator,Animation as a Career
DJ,Sound Engineer,Richard,Warp,Music Production,Leapfrog Enterprises,TechBridge,by creating music to make people happy,by composing and producing new music for entertainment and education,Music,Digital Media,Computer Science,Hey! My name is Richard and I work with Leapfrog Enterprises to produce educational music. I also am a musical performer and producer. I love making music!,https://www.youtube.com/watch?v=dJ3jUqHCzTA,Career Advice on becoming a Music Producer,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/sound-engineering-technician,Sound Engineering as a Career
Sound Engineer,DJ,Kelley,Coyne,Sound Engineer,Women's Audio Mission,TechBridge,by creating music to make people happy,by composing and producing new music for entertainment and education,Music,Digital Media,Computer Science,Hi there! My name is Kelley and I work as a sound engineer at the Women's Audio Mission to produce music for women's empowerment. I love making music!,https://www.youtube.com/watch?v=9yRA8K0pY1Y,Day in the Life: Audio Engineer,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/sound-engineering-technician,Sound Engineering as a Career
Electrical Engineer,,Francine,Shammami,Electrical Engineer,Microsoft,TechBridge,by creating new products and technology to improve lives,by making products more efficient,Computer Science,Physics,Calculus,Hey! My name is Francine and I work as an electrical engineer at Microsoft. I love working with my hands and designing new products!,https://www.youtube.com/watch?v=ujrEme2UoLM,What is an Electrical Engineer?,http://www.sciencebuddies.org/science-engineering-careers/engineering/electrical-electronics-engineer,Electrical Engineering as a Career
Enviromental Science,,Kim,Jolitz,Geologist/Environmental Engineer,Chevron,TechBridge,by studying more about our planet,by making sure human actions are safe and sustainable for our planet,Earth Science,Biology,Physics,Hi! My name is Kim and I'm a geologist at Chevron. I love nature and studying Earth!,https://www.youtube.com/watch?v=vG6PnRUMWAc,Why an Environmental Engineer?,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/environmental-scientist,Environmental Science as a Career
Food Flavorist,Food Stylist,Teri,Anderson,Seasoning Flavorist,IFF,LinkedIn (no connection,by inventing new food and recipes,by making food taste good,Chemistry,Biology,Cooking,"Hey! My name is Teri and I work as a Seasoning Flavorist at International Flavors and Fragrances, Inc. I love making food as yummy as possible!",https://www.youtube.com/watch?v=cRZ2D_TAXDY,Flavor Chemistry,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/food-science-technician,Food Science as a Career
Food Nutrition Scientist,Food Researcher / Engineer,Willette M.,Crawford,Food Scientist,Juicero,TechBridge,by making food healthy and safe,by inventing new food and recipes,Chemistry,Biology,Cooking,Hi there! My name is Willette and I work as a food scientist at Juicero. I love managing food safety because I can make sure no one gets sick from our juices!,https://www.youtube.com/watch?v=R5LSMVS6HXg,Food Scientists and Technologists Job Description,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/food-science-technician,Food Science as a Career
Food Researcher / Engineer,Molecular Gastronomer,Laura,Shimmin,Foods Process Scientist,Clorox,TechBridge,by making food healthy and safe,by inventing new food and recipes,Chemistry,Biology,Cooking,Hi! My name is Laura and I work as a Foods Process Scientist. I love making sure food is safe and sustainable for everyone!,https://www.youtube.com/watch?v=vbvQlKzSmkQ,What is Molecular Gastronomy?,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/food-scientist-or-technologist,Molecular Gastronomy as a Career
Graphic Design,AutoCAD/Computer Science,Jenni,Hogan,Graphic Designer,Tagboard,TechBridge,by making visually attractive webpages,by making websites intuitive and easy to use,Computer Science,Drawing and Painting,Digital Media,Hey! My name is Jenni and I work as a graphic designer at Tagboard. I love to create visually appealing designs that are easy for the user to utilize.,https://www.youtube.com/watch?v=KuK6EDk2T6s,A Day in the Life of a Graphic Designer,http://www.sciencebuddies.org/science-engineering-careers/engineering/cad-technician,Computer-Aided Design as a Career
"Industrial Operations Engineering, Systems engineering",,Emily,Zhao,Business/Operations Engineer,Dropbox,TechBridge,by organizing everything to make sure it runs as smoothly and safely as possible ,by saving money and resources by keeping processes efficient,Algebra,Calculus,Business Management,Hi! My name is Emily and I work as an Operations Engineer at Dropbox. I love being in charge and finding the best way to do things.,https://www.youtube.com/watch?v=giKuVvsEj6A,Career Advice on becoming a Systems Engineer,http://www.sciencebuddies.org/science-engineering-careers/engineering/engineering-manager,Engineering Management as a Career
Landscape Architect,Civil Engineer,Carrie,Del Boccio,Civil Engineer,RMC Water and Environment,TechBridge,by designing structures to be as efficient and eco-friendly as possible,by making sure structures and processes are all safe for people and the environment,Earth Science,Physics,Calculus,Hey there! My name is Carrie and I work as a Civil Engineer at RMC Water and Environment. I love working with the environment and helping our planet!,https://www.youtube.com/watch?v=Hcr5IWW3Dkk,Careers as a civil engineer,http://www.sciencebuddies.org/science-engineering-careers/engineering/landscape-architect,Landscape Architecture as a Career
Mechanical Engineer,,Juliana,Velez,Energy Engineer,EnerNOC,TechBridge,by finding efficient energy solutions,by making sure human actions are safe and sustainable for our planet,Earth Science,Physics,Chemistry,Hi! My name is Juliana and I work as an energy engineer at EnerNOC. I love making energy usage as environmentally friendly as possible!,https://www.youtube.com/watch?v=GNsj7fl7tlg,Careers as an energy engineer,http://www.sciencebuddies.org/science-engineering-careers/engineering/energy-engineer,Energy Engineering as a Career
Physicist,Theme Park Architect,Stéphanie,Couvreur,Physics Researcher (hydrodynamics),PhD Student,Steminist.com,by studying physics to learn more about how the universe works,by creating processes to harness the power of natural forces (such as using dams for hydroelectricity),Physics,Calculus,Earth Science,Hey! My name is Stéphanie and I work as a physics researcher studying hydrodynamics. I love knowing more about how forces work within the universe and how to harness them!,https://www.youtube.com/watch?v=dLObBJhYKKE,60 Seconds with a Physicist: Margaret Cheung,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/physicist,Physics as a Career
Rocket Scientist,Aerospace Engineer,April Joy,Erickson,Aerospace Enginer,NASA Goddard Space Flight Center,?,by studying space in order to learn more about our planet,by searching for life on Mars,Physics,Computer Science,Earth Science,Hey! My name is April Joy and I work as an Aerospace Engineer at the NASA Goddard Space Flight Center. I love learning more about space and flight!,https://www.youtube.com/watch?v=vCGx-HnvqGA,A Closer Look - Aerospace Engineering,http://www.sciencebuddies.org/science-engineering-careers/engineering/aerospace-engineering-operations-technician#onthejob,Aerospace Engineering as a Career
Safety Engineer,Structural Engineer,Consuelo,Crosby,Structural Engineer,The Edifice Complex,TechBridge,by designing structures to be as efficient and eco-friendly as possible,by making sure structures and processes are all safe for people and the environment,Physics,Calculus,Earth Science,Hi there! My name is Consuelo and I work as a structural engineer at The Edifice Complex. I love designing buildings and making sure they're safe!,https://www.youtube.com/watch?v=t8nvuASMdhU,Career Spotlight: Civil Engineer,http://www.sciencebuddies.org/science-engineering-careers/earth-physical-sciences/industrial-health-safety-engineer,Safety Engineering as a Career
Sports Medicine,Physical Therapist,Kate,Miller,Head Trainer,Seattle Seahawks,FICTIONAL,by helping people and athletes stay healthy,by helping people recover from injuries quickly and safely,Biology,Chemistry,Medicine,Hey! My name is Kate and I work as a trainer and physical therapist for the Seattle Seahawks. I love helping people recover from injuries!,https://www.youtube.com/watch?v=1AWGrmlt_qI,How to start a career in Sports Medicine,http://www.sciencebuddies.org/science-engineering-careers/life-sciences/athletic-trainer,Sports Medicine as a Career
Structural Engineer,Theme Park Architect,Adhamina,Rodriguez,Civil Engineer,Swinerton Builders,TechBridge,by designing structures to be as efficient and eco-friendly as possible,by making sure structures and processes are all safe for people and the environment,Physics,Calculus,Earth Science,Hey! My name is Adhamina and I'm a civil engineer at Swinerton Builders. I love creating huge buildings and structures and helping people!,https://www.youtube.com/watch?v=Ny1zPqt8LVE,Theme Park Engineering,http://www.sciencebuddies.org/science-engineering-careers/engineering/civil-engineers,Civil Engineering as a Career
Textile Engineering,,Mingxi,Zheng,Materials Science Engineer,Student at Berkeley,TechBridge,by researching the strongest and safest materials to use,by designing materials to be as efficient and eco-friendly as possible,Physics,Calculus,Earth Science,Hi there! My name is Mingxi and I am currently studying to become a Materials Science Engineer. I love engineering and helping the environment!,https://www.youtube.com/watch?v=-qJd2UfuD1w,Materials Engineering: What I Do,http://www.sciencebuddies.org/science-engineering-careers/engineering/materials-scientist-and-engineer#whatdotheydo,Materials Science as a Career
User Interface Designer,,Thu,Quach,UX Designer,Tagboard,TechBridge,by making visually attractive webpages,by making websites intuitive and easy to use,Computer Science,Drawing and Painting,Digital Media,Hi there! My name is Thu and I work as a User Experience Designer at Tagboard. I love making sure people have a good experience while using our products!,https://www.youtube.com/watch?v=4znft9WQx0Y,UI and UX Designers,http://www.sciencebuddies.org/science-engineering-careers/math-computer-science/software-quality-assurance-engineer-tester,Software Quality Assurance as a Career
Veterinarian,Veterinary Technician,Sara,Perry,Bird and Mammal Animal Care Specialist,Seattle Aquarium,TechBridge,by saving the lives of animals,by making sure tame and wild animals are healthy and happy,Biology,Earth Science,Chemistry,Hey! My name is Sara and I work as a bird and mammal animal care specialist at the Seattle Aquarium. I love taking care of animals!,https://www.youtube.com/watch?v=8dUCteRJxb4,Why Girls Should Consider Becoming Veterinarians,http://www.sciencebuddies.org/science-engineering-careers/life-sciences/veterinarian,Veterinary Care as a Career
Zoo Keeper,,Cari,Garand,Marine Science Interpreter/ Diver,Seattle Aquarium,TechBridge,by making sure tame and wild animals are healthy and happy,by educating others about the importance of animals,Biology,Earth Science,Chemistry,Hi! My name is Cari and I'm a marine science interpreter and diver at the Seattle Aquarium. I love working with animals!,https://www.youtube.com/watch?v=JYdQ_AWEg8k,Zookeeping: Inside the Job,http://www.sciencebuddies.org/science-engineering-careers/life-sciences/zoologist-and-wildlife-biologist,Zoology as a Career